pulse_ms,n,soc_rmse,soc_mae,soh_rmse,soh_mae
30,128,13.777979621480492,10.215901143860316,0.060945761519898486,0.04039197461801773
50,128,14.482166882961579,10.594406435506786,0.06414156914016127,0.044189506391650556
70,128,13.510937457620233,9.734775560900548,0.05845196412400113,0.04003461753002241
100,128,12.69240601043053,8.943094150806463,0.05963744106893655,0.03968278663963545
300,128,12.299762951785766,8.454308254815077,0.06267020618198806,0.04297225638674513
500,128,11.664394070911637,7.690198667943846,0.05742504082957832,0.040314794207040386
700,128,11.52007647472934,7.453915219908735,0.05556871876263954,0.03947610548752125
1000,128,11.07117198254905,7.059438684330168,0.04719603404764853,0.03316051752787041
3000,128,9.124544214400355,5.616433173985808,0.04367737819303564,0.031143530669582756
5000,128,8.785045646222516,5.3132560363274814,0.04294712614726249,0.03039582665242675
