label,soc_bin,mape_pct,count
LFP_35Ah,"(4.999, 19.951]",95.0823700952714,20
LFP_35Ah,"(19.951, 25.68]",105.48588646645274,10
LFP_35Ah,"(25.68, 37.948]",21.518150446812896,10
LFP_35Ah,"(37.948, 41.65]",48.53679544972736,30
LFP_35Ah,"(41.65, 46.61]",,0
LFP_35Ah,"(46.61, 50.565]",,0
LFP_35Ah,"(50.565, 55.923]",12.019716526200924,20
LFP_35Ah,"(55.923, 65.0]",,0
LFP_35Ah,"(65.0, 70.008]",,0
LFP_35Ah,"(70.008, 90.0]",,0
LFP_68Ah,"(4.999, 19.951]",88.97364421267528,20
LFP_68Ah,"(19.951, 25.68]",39.167484059487926,10
LFP_68Ah,"(25.68, 37.948]",29.63300017333764,30
LFP_68Ah,"(37.948, 41.65]",14.857894392084376,30
LFP_68Ah,"(41.65, 46.61]",16.633781780138108,40
LFP_68Ah,"(46.61, 50.565]",16.13214253709722,20
LFP_68Ah,"(50.565, 55.923]",12.700826574790463,10
LFP_68Ah,"(55.923, 65.0]",10.516104608749751,40
LFP_68Ah,"(65.0, 70.008]",7.27848717858469,20
LFP_68Ah,"(70.008, 90.0]",,0
LMO_10Ah,"(4.999, 19.951]",10.240271816441467,20
LMO_10Ah,"(19.951, 25.68]",13.688384170341678,40
LMO_10Ah,"(25.68, 37.948]",13.30957999717418,30
LMO_10Ah,"(37.948, 41.65]",13.669826645892396,10
LMO_10Ah,"(41.65, 46.61]",5.484393893098022,10
LMO_10Ah,"(46.61, 50.565]",5.880114241129098,30
LMO_10Ah,"(50.565, 55.923]",10.390855094681337,50
LMO_10Ah,"(55.923, 65.0]",7.477026524214438,30
LMO_10Ah,"(65.0, 70.008]",54.24203754935125,10
LMO_10Ah,"(70.008, 90.0]",7.021057867922847,30
LMO_24Ah,"(4.999, 19.951]",,0
LMO_24Ah,"(19.951, 25.68]",38.18158975344602,20
LMO_24Ah,"(25.68, 37.948]",26.273649579996334,20
LMO_24Ah,"(37.948, 41.65]",25.510925066193852,20
LMO_24Ah,"(41.65, 46.61]",4.732103843424195,10
LMO_24Ah,"(46.61, 50.565]",6.5126068154899635,20
LMO_24Ah,"(50.565, 55.923]",,0
LMO_24Ah,"(55.923, 65.0]",9.816835555349916,20
LMO_24Ah,"(65.0, 70.008]",8.813647957688975,30
LMO_24Ah,"(70.008, 90.0]",47.75485856101507,20
LMO_25Ah,"(4.999, 19.951]",161.20180745777918,20
LMO_25Ah,"(19.951, 25.68]",52.242605184284805,30
LMO_25Ah,"(25.68, 37.948]",14.560459948578497,10
LMO_25Ah,"(37.948, 41.65]",39.45503338291684,20
LMO_25Ah,"(41.65, 46.61]",,0
LMO_25Ah,"(46.61, 50.565]",27.703370570746845,20
LMO_25Ah,"(50.565, 55.923]",20.088971009570976,10
LMO_25Ah,"(55.923, 65.0]",,0
LMO_25Ah,"(65.0, 70.008]",27.810541804073996,20
LMO_25Ah,"(70.008, 90.0]",9.100419706359204,20
LMO_26Ah,"(4.999, 19.951]",63.43492188773217,20
LMO_26Ah,"(19.951, 25.68]",,0
LMO_26Ah,"(25.68, 37.948]",,0
LMO_26Ah,"(37.948, 41.65]",12.374142152259706,10
LMO_26Ah,"(41.65, 46.61]",27.5976700335718,30
LMO_26Ah,"(46.61, 50.565]",15.953309734748444,10
LMO_26Ah,"(50.565, 55.923]",13.771608890516546,10
LMO_26Ah,"(55.923, 65.0]",13.08865398691695,20
LMO_26Ah,"(65.0, 70.008]",6.303022397941485,10
LMO_26Ah,"(70.008, 90.0]",5.885497205609572,40
NMC_15Ah,"(4.999, 19.951]",36.33150261850367,30
NMC_15Ah,"(19.951, 25.68]",18.493206260622745,10
NMC_15Ah,"(25.68, 37.948]",26.00963299705368,30
NMC_15Ah,"(37.948, 41.65]",,0
NMC_15Ah,"(41.65, 46.61]",12.196311176477248,20
NMC_15Ah,"(46.61, 50.565]",18.004584818846414,20
NMC_15Ah,"(50.565, 55.923]",17.15789174507511,10
NMC_15Ah,"(55.923, 65.0]",2.1557020382374144,20
NMC_15Ah,"(65.0, 70.008]",3.579875069816687,10
NMC_15Ah,"(70.008, 90.0]",,0
NMC_21Ah,"(4.999, 19.951]",,0
NMC_21Ah,"(19.951, 25.68]",24.26775494844576,10
NMC_21Ah,"(25.68, 37.948]",,0
NMC_21Ah,"(37.948, 41.65]",22.40297380629121,10
NMC_21Ah,"(41.65, 46.61]",6.382046131010806,10
NMC_21Ah,"(46.61, 50.565]",21.5955377383907,20
NMC_21Ah,"(50.565, 55.923]",11.061026460903967,10
NMC_21Ah,"(55.923, 65.0]",10.68670628345359,10
NMC_21Ah,"(65.0, 70.008]",7.798532644303329,30
NMC_21Ah,"(70.008, 90.0]",,0
